# integral[ exp(-x*t) / t^n, x=1..inf ]
# x                       n=1                       n=2                       n=3
1.489999999999999991e+00  1.015195932777477328e-01  7.410846155559464021e-02  5.747552391080133077e-02
1.500000000000000000e+00  1.000195824066327094e-01  7.310078653848087193e-02  5.673949017035432446e-02
1.510000000000000009e+00  9.854436469838537271e-02  7.210798726481616738e-02  5.601345859475290873e-02
1.520000000000000018e+00  9.709346629661844141e-02  7.112981818135487300e-02  5.529728165827773462e-02
1.530000000000000027e+00  9.566642411548691161e-02  7.016603841931212671e-02  5.459081426722972585e-02
1.540000000000000036e+00  9.426278554469817716e-02  6.921641168814268719e-02  5.389391371361912375e-02
1.550000000000000044e+00  9.288210816420923444e-02  6.828070617221869421e-02  5.320643962990206227e-02
1.560000000000000053e+00  9.152395946823681239e-02  6.735869443031522463e-02  5.252825394473642495e-02
1.570000000000000062e+00  9.018791659822286699e-02  6.645015329781046864e-02  5.185922083972899915e-02
1.580000000000000071e+00  8.887356608441214501e-02  6.555486379151202747e-02  5.119920670714710881e-02
1.590000000000000080e+00  8.758050359571484256e-02  6.467261101702699577e-02  5.054808010857027994e-02
1.600000000000000089e+00  8.630833369753981854e-02  6.380318407859177088e-02  4.990571173445428749e-02
1.610000000000000098e+00  8.505666961730289077e-02  6.294637599128680150e-02  4.927197436458640584e-02
1.620000000000000107e+00  8.382513301731923938e-02  6.210198359555745007e-02  4.864674282940577993e-02
1.630000000000000115e+00  8.261335377480866216e-02  6.126980747397113569e-02  4.802989397216817641e-02
1.640000000000000124e+00  8.142096976875165537e-02  6.044965187013925240e-02  4.742130661193178637e-02
1.650000000000000133e+00  8.024762667334318922e-02  5.964132460973774197e-02  4.682086150734332541e-02
1.660000000000000142e+00  7.909297775780654849e-02  5.884463702356170639e-02  4.622844132120399602e-02
1.669999999999999929e+00  7.795668369233375861e-02  5.805940387254954205e-02  4.564393058579457874e-02
1.679999999999999938e+00  7.683841235993493779e-02  5.728544327471916942e-02  4.506721566894084791e-02
1.689999999999999947e+00  7.573783867398332925e-02  5.652257663395738457e-02  4.449818474080065311e-02
1.699999999999999956e+00  7.465464440125316181e-02  5.577062857060444134e-02  4.393672774135354980e-02
1.709999999999999964e+00  7.358851799025642459e-02  5.502942685378371668e-02  4.338273634857597177e-02
1.719999999999999973e+00  7.253915440469348164e-02  5.429880233542048323e-02  4.283610394728505633e-02
1.729999999999999982e+00  7.150625496183536656e-02  5.357858888590264629e-02  4.229672559863319886e-02
1.739999999999999991e+00  7.048952717566887849e-02  5.286862333133297148e-02  4.176449801023875141e-02
1.750000000000000000e+00  6.948868460463879237e-02  5.216874539232720792e-02  4.123931950693628112e-02
1.760000000000000009e+00  6.850344670382875478e-02  5.147879762431201156e-02  4.072109000213072066e-02
1.770000000000000018e+00  6.753353868142923655e-02  5.079862535927964079e-02  4.020971096974219200e-02
1.780000000000000027e+00  6.657869135934708915e-02  5.012807664895765902e-02  3.970508541672543301e-02
1.790000000000000036e+00  6.563864103781519299e-02  4.946700220935157377e-02  3.920711785615066391e-02
1.800000000000000044e+00  6.471312936386885983e-02  4.881525536662253972e-02  3.871571428083296629e-02
1.810000000000000053e+00  6.380190320355945410e-02  4.817269200426145537e-02  3.823078213749541571e-02
1.820000000000000062e+00  6.290471451777936152e-02  4.753917051152222600e-02  3.775223030145507391e-02
