#table for dust cooling
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), cool (erg/cm3/s)

          30 ,          30
 -0.14482759E+001  0.43793103E+001 -0.28758268E+002
 -0.14482759E+001  0.46206897E+001 -0.28395569E+002
 -0.14482759E+001  0.48620690E+001 -0.28033128E+002
 -0.14482759E+001  0.51034483E+001 -0.27670839E+002
 -0.14482759E+001  0.53448276E+001 -0.27308640E+002
 -0.14482759E+001  0.55862069E+001 -0.26946494E+002
 -0.14482759E+001  0.58275862E+001 -0.26584380E+002
 -0.14482759E+001  0.60689655E+001 -0.26222284E+002
 -0.14482759E+001  0.63103448E+001 -0.25860199E+002
 -0.14482759E+001  0.65517241E+001 -0.25498120E+002
 -0.14482759E+001  0.67931034E+001 -0.25136046E+002
 -0.14482759E+001  0.70344828E+001 -0.24773973E+002
 -0.14482759E+001  0.72758621E+001 -0.24411902E+002
 -0.14482759E+001  0.75172414E+001 -0.24049832E+002
 -0.14482759E+001  0.77586207E+001 -0.23687763E+002
 -0.14482759E+001  0.80000000E+001 -0.23325693E+002
 
 -0.10344828E+001  0.10000000E+001 -0.40000000E+002
 -0.10344828E+001  0.12413793E+001 -0.40000000E+002
 -0.10344828E+001  0.14827586E+001 -0.40000000E+002
 -0.10344828E+001  0.17241379E+001 -0.35213093E+002
 -0.10344828E+001  0.19655172E+001 -0.32074793E+002
 -0.10344828E+001  0.22068966E+001 -0.31424171E+002
 -0.10344828E+001  0.24482759E+001 -0.30949831E+002
 -0.10344828E+001  0.26896552E+001 -0.30532572E+002
 -0.10344828E+001  0.29310345E+001 -0.30140889E+002
 -0.10344828E+001  0.31724138E+001 -0.29762249E+002
 -0.10344828E+001  0.34137931E+001 -0.29390699E+002
 -0.10344828E+001  0.36551724E+001 -0.29023137E+002
 -0.10344828E+001  0.38965517E+001 -0.28657861E+002
 -0.10344828E+001  0.41379310E+001 -0.28293912E+002
 -0.10344828E+001  0.43793103E+001 -0.27930737E+002
 -0.10344828E+001  0.46206897E+001 -0.27568016E+002
 -0.10344828E+001  0.48620690E+001 -0.27205562E+002
 -0.10344828E+001  0.51034483E+001 -0.26843265E+002
 -0.10344828E+001  0.53448276E+001 -0.26481062E+002
 -0.10344828E+001  0.55862069E+001 -0.26118913E+002
 -0.10344828E+001  0.58275862E+001 -0.25756797E+002
 -0.10344828E+001  0.60689655E+001 -0.25394699E+002
 -0.10344828E+001  0.63103448E+001 -0.25032614E+002
 -0.10344828E+001  0.65517241E+001 -0.24670535E+002
 -0.10344828E+001  0.67931034E+001 -0.24308460E+002
 -0.10344828E+001  0.70344828E+001 -0.23946387E+002
 -0.10344828E+001  0.72758621E+001 -0.23584316E+002
 -0.10344828E+001  0.75172414E+001 -0.23222246E+002
 -0.10344828E+001  0.77586207E+001 -0.22860176E+002
 -0.10344828E+001  0.80000000E+001 -0.22498107E+002
 
 -0.62068966E+000  0.10000000E+001 -0.40000000E+002
 -0.62068966E+000  0.12413793E+001 -0.40000000E+002
 -0.62068966E+000  0.14827586E+001 -0.40000000E+002
 -0.62068966E+000  0.17241379E+001 -0.34775762E+002
 -0.62068966E+000  0.19655172E+001 -0.31273749E+002
 -0.62068966E+000  0.22068966E+001 -0.30605340E+002
 -0.62068966E+000  0.24482759E+001 -0.30126405E+002
 -0.62068966E+000  0.26896552E+001 -0.29707218E+002
 -0.62068966E+000  0.29310345E+001 -0.29314568E+002
 -0.62068966E+000  0.31724138E+001 -0.28935402E+002
 -0.62068966E+000  0.34137931E+001 -0.28563552E+002
 -0.62068966E+000  0.36551724E+001 -0.28195813E+002
 -0.62068966E+000  0.38965517E+001 -0.27830433E+002
 -0.62068966E+000  0.41379310E+001 -0.27466421E+002
 -0.62068966E+000  0.43793103E+001 -0.27103209E+002
 -0.62068966E+000  0.46206897E+001 -0.26740465E+002
 -0.62068966E+000  0.48620690E+001 -0.26377997E+002
 -0.62068966E+000  0.51034483E+001 -0.26015692E+002
 -0.62068966E+000  0.53448276E+001 -0.25653484E+002
 -0.62068966E+000  0.55862069E+001 -0.25291332E+002
 -0.62068966E+000  0.58275862E+001 -0.24929213E+002
 -0.62068966E+000  0.60689655E+001 -0.24567115E+002
 -0.62068966E+000  0.63103448E+001 -0.24205029E+002
 -0.62068966E+000  0.65517241E+001 -0.23842949E+002
 -0.62068966E+000  0.67931034E+001 -0.23480874E+002
 -0.62068966E+000  0.70344828E+001 -0.23118802E+002
 -0.62068966E+000  0.72758621E+001 -0.22756730E+002
 -0.62068966E+000  0.75172414E+001 -0.22394660E+002
 -0.62068966E+000  0.77586207E+001 -0.22032590E+002
 -0.62068966E+000  0.80000000E+001 -0.21670521E+002
 
 -0.20689655E+000  0.10000000E+001 -0.40000000E+002
 -0.20689655E+000  0.12413793E+001 -0.40000000E+002
 -0.20689655E+000  0.14827586E+001 -0.40000000E+002
 -0.20689655E+000  0.17241379E+001 -0.34351352E+002
 -0.20689655E+000  0.19655172E+001 -0.30475670E+002
 -0.20689655E+000  0.22068966E+001 -0.29787175E+002
 -0.20689655E+000  0.24482759E+001 -0.29303260E+002
 -0.20689655E+000  0.26896552E+001 -0.28882008E+002
 -0.20689655E+000  0.29310345E+001 -0.28488330E+002
 -0.20689655E+000  0.31724138E+001 -0.28108603E+002
 -0.20689655E+000  0.34137931E+001 -0.27736433E+002
 -0.20689655E+000  0.36551724E+001 -0.27368508E+002
 -0.20689655E+000  0.38965517E+001 -0.27003017E+002
 -0.20689655E+000  0.41379310E+001 -0.26638938E+002
 -0.20689655E+000  0.43793103E+001 -0.26275685E+002
 -0.20689655E+000  0.46206897E+001 -0.25912917E+002
 -0.20689655E+000  0.48620690E+001 -0.25550434E+002
