#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), H2 (1/s)

          30 ,          30
 -0.31034483E+001  0.43793103E+001 -0.21673193E+002
 -0.31034483E+001  0.46206897E+001 -0.22041851E+002
 -0.31034483E+001  0.48620690E+001 -0.22411483E+002
 -0.31034483E+001  0.51034483E+001 -0.22781810E+002
 -0.31034483E+001  0.53448276E+001 -0.23152705E+002
 -0.31034483E+001  0.55862069E+001 -0.23524109E+002
 -0.31034483E+001  0.58275862E+001 -0.23895996E+002
 -0.31034483E+001  0.60689655E+001 -0.24268356E+002
 -0.31034483E+001  0.63103448E+001 -0.24641186E+002
 -0.31034483E+001  0.65517241E+001 -0.25014484E+002
 -0.31034483E+001  0.67931034E+001 -0.25388253E+002
 -0.31034483E+001  0.70344828E+001 -0.25762491E+002
 -0.31034483E+001  0.72758621E+001 -0.26137198E+002
 -0.31034483E+001  0.75172414E+001 -0.26512372E+002
 -0.31034483E+001  0.77586207E+001 -0.26888009E+002
 -0.31034483E+001  0.80000000E+001 -0.27264103E+002
 
 -0.26896552E+001  0.10000000E+001 -0.19184744E+002
 -0.26896552E+001  0.12413793E+001 -0.19090330E+002
 -0.26896552E+001  0.14827586E+001 -0.19007934E+002
 -0.26896552E+001  0.17241379E+001 -0.18976305E+002
 -0.26896552E+001  0.19655172E+001 -0.18932514E+002
 -0.26896552E+001  0.22068966E+001 -0.18907477E+002
 -0.26896552E+001  0.24482759E+001 -0.18936821E+002
 -0.26896552E+001  0.26896552E+001 -0.19044865E+002
 -0.26896552E+001  0.29310345E+001 -0.19241500E+002
 -0.26896552E+001  0.31724138E+001 -0.19512679E+002
 -0.26896552E+001  0.34137931E+001 -0.19832176E+002
 -0.26896552E+001  0.36551724E+001 -0.20177803E+002
 -0.26896552E+001  0.38965517E+001 -0.20536237E+002
 -0.26896552E+001  0.41379310E+001 -0.20900763E+002
 -0.26896552E+001  0.43793103E+001 -0.21268280E+002
 -0.26896552E+001  0.46206897E+001 -0.21637401E+002
 -0.26896552E+001  0.48620690E+001 -0.22007509E+002
 -0.26896552E+001  0.51034483E+001 -0.22378323E+002
 -0.26896552E+001  0.53448276E+001 -0.22749716E+002
 -0.26896552E+001  0.55862069E+001 -0.23121628E+002
 -0.26896552E+001  0.58275862E+001 -0.23494032E+002
 -0.26896552E+001  0.60689655E+001 -0.23866916E+002
 -0.26896552E+001  0.63103448E+001 -0.24240274E+002
 -0.26896552E+001  0.65517241E+001 -0.24614105E+002
 -0.26896552E+001  0.67931034E+001 -0.24988408E+002
