#table for averaged Tdust
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), <Tdust> (K)

          30 ,          30
 -0.35172414E+001  0.75172414E+001  0.20753949E+001
 -0.35172414E+001  0.77586207E+001  0.20926369E+001
 -0.35172414E+001  0.80000000E+001  0.21105270E+001
 
 -0.31034483E+001  0.10000000E+001  0.10213352E+001
 -0.31034483E+001  0.12413793E+001  0.12627144E+001
 -0.31034483E+001  0.14827586E+001  0.15040937E+001
 -0.31034483E+001  0.17241379E+001  0.17423361E+001
 -0.31034483E+001  0.19655172E+001  0.17920630E+001
 -0.31034483E+001  0.22068966E+001  0.18073796E+001
 -0.31034483E+001  0.24482759E+001  0.18195309E+001
 -0.31034483E+001  0.26896552E+001  0.18306852E+001
 -0.31034483E+001  0.29310345E+001  0.18414928E+001
 -0.31034483E+001  0.31724138E+001  0.18522328E+001
 -0.31034483E+001  0.34137931E+001  0.18630479E+001
 -0.31034483E+001  0.36551724E+001  0.18740203E+001
 -0.31034483E+001  0.38965517E+001  0.18852018E+001
 -0.31034483E+001  0.41379310E+001  0.18966279E+001
 -0.31034483E+001  0.43793103E+001  0.19083258E+001
 -0.31034483E+001  0.46206897E+001  0.19203181E+001
 -0.31034483E+001  0.48620690E+001  0.19326252E+001
 -0.31034483E+001  0.51034483E+001  0.19452670E+001
 -0.31034483E+001  0.53448276E+001  0.19582634E+001
 -0.31034483E+001  0.55862069E+001  0.19716350E+001
 -0.31034483E+001  0.58275862E+001  0.19854038E+001
 -0.31034483E+001  0.60689655E+001  0.19995933E+001
 -0.31034483E+001  0.63103448E+001  0.20142289E+001
 -0.31034483E+001  0.65517241E+001  0.20293380E+001
 -0.31034483E+001  0.67931034E+001  0.20449506E+001
 -0.31034483E+001  0.70344828E+001  0.20610993E+001
 -0.31034483E+001  0.72758621E+001  0.20778200E+001
 -0.31034483E+001  0.75172414E+001  0.20951519E+001
 -0.31034483E+001  0.77586207E+001  0.21131383E+001
