# The following is the Haardt&Madau radiation flux from quasars+galaxies.
# For details see Haardt&Madau ApJ, 764, 125, 2012.
# It has been re-arranged to be readable by KROME, the first value is the redshift,
# then energy in eV, and 3th column is the radiation flux in eV/s/cm2/Hz/sr
# Range of redshift 0-15.66, step-size 0.270
# Range of energy   0.1237-4.997d7 eV in logscale
# Table 59x500
#  Redshift   log10(E(eV))     log10(Jflux)
            59, 500
   0.000     0.3766429E+01    -0.1379181E+02
   0.000     0.3783676E+01    -0.1379877E+02
   0.000     0.3800923E+01    -0.1380550E+02
   0.000     0.3818170E+01    -0.1381196E+02
   0.000     0.3835417E+01    -0.1381830E+02
   0.000     0.3852664E+01    -0.1382435E+02
   0.000     0.3869911E+01    -0.1383022E+02
   0.000     0.3887158E+01    -0.1383590E+02
   0.000     0.3904405E+01    -0.1384143E+02
   0.000     0.3921652E+01    -0.1384707E+02
   0.000     0.3938899E+01    -0.1385299E+02
   0.000     0.3956146E+01    -0.1385899E+02
   0.000     0.3973393E+01    -0.1386519E+02
   0.000     0.3990640E+01    -0.1387166E+02
   0.000     0.4007887E+01    -0.1387844E+02
   0.000     0.4025134E+01    -0.1388549E+02
   0.000     0.4042381E+01    -0.1389293E+02
   0.000     0.4059628E+01    -0.1390068E+02
   0.000     0.4076875E+01    -0.1390879E+02
   0.000     0.4094122E+01    -0.1391733E+02
   0.000     0.4111369E+01    -0.1392643E+02
   0.000     0.4128616E+01    -0.1393601E+02
   0.000     0.4145863E+01    -0.1394620E+02
   0.000     0.4163110E+01    -0.1395694E+02
   0.000     0.4180356E+01    -0.1396817E+02
   0.000     0.4197603E+01    -0.1397991E+02
   0.000     0.4214850E+01    -0.1399228E+02
   0.000     0.4232097E+01    -0.1400527E+02
   0.000     0.4249344E+01    -0.1401892E+02
   0.000     0.4266591E+01    -0.1403299E+02
   0.000     0.4283838E+01    -0.1404765E+02
   0.000     0.4301085E+01    -0.1406302E+02
   0.000     0.4318332E+01    -0.1407907E+02
   0.000     0.4335579E+01    -0.1409526E+02
   0.000     0.4352826E+01    -0.1411238E+02
   0.000     0.4370073E+01    -0.1412983E+02
   0.000     0.4387320E+01    -0.1414761E+02
   0.000     0.4404567E+01    -0.1416584E+02
   0.000     0.4421814E+01    -0.1418454E+02
   0.000     0.4439061E+01    -0.1420352E+02
   0.000     0.4456308E+01    -0.1422297E+02
   0.000     0.4473555E+01    -0.1424276E+02
   0.000     0.4490802E+01    -0.1426286E+02
   0.000     0.4508049E+01    -0.1428331E+02
   0.000     0.4525296E+01    -0.1430396E+02
   0.000     0.4542543E+01    -0.1432487E+02
   0.000     0.4559790E+01    -0.1434607E+02
   0.000     0.4577037E+01    -0.1436754E+02
   0.000     0.4594284E+01    -0.1438926E+02
   0.000     0.4611531E+01    -0.1441118E+02
   0.000     0.4628778E+01    -0.1443346E+02
   0.000     0.4646025E+01    -0.1445575E+02
   0.000     0.4663272E+01    -0.1447841E+02
   0.000     0.4680519E+01    -0.1450134E+02
   0.000     0.4697766E+01    -0.1452447E+02
   0.000     0.4715013E+01    -0.1454782E+02
   0.000     0.4732260E+01    -0.1457151E+02
   0.000     0.4749507E+01    -0.1459543E+02
   0.000     0.4766754E+01    -0.1461955E+02
   0.000     0.4784001E+01    -0.1464380E+02
   0.000     0.4801248E+01    -0.1466823E+02
   0.000     0.4818495E+01    -0.1469301E+02
   0.000     0.4835742E+01    -0.1471813E+02
   0.000     0.4852989E+01    -0.1474341E+02
   0.000     0.4870236E+01    -0.1476869E+02
   0.000     0.4887482E+01    -0.1479422E+02
   0.000     0.4904729E+01    -0.1482010E+02
   0.000     0.4921976E+01    -0.1484602E+02
   0.000     0.4939223E+01    -0.1487208E+02
   0.000     0.4956470E+01    -0.1489858E+02
   0.000     0.4973717E+01    -0.1492512E+02
   0.000     0.4990964E+01    -0.1495181E+02
   0.000     0.5008211E+01    -0.1497869E+02
   0.000     0.5025458E+01    -0.1500536E+02
   0.000     0.5042705E+01    -0.1503237E+02
   0.000     0.5059952E+01    -0.1505962E+02
   0.000     0.5077199E+01    -0.1508744E+02
   0.000     0.5094446E+01    -0.1511528E+02
   0.000     0.5111693E+01    -0.1514271E+02
   0.000     0.5128940E+01    -0.1517065E+02
   0.000     0.5146187E+01    -0.1519849E+02
   0.000     0.5163434E+01    -0.1522658E+02
   0.000     0.5180681E+01    -0.1525496E+02
   0.000     0.5197928E+01    -0.1528357E+02
   0.000     0.5215175E+01    -0.1531235E+02
   0.000     0.5232422E+01    -0.1534135E+02
   0.000     0.5249669E+01    -0.1537055E+02
   0.000     0.5266916E+01    -0.1540004E+02
   0.000     0.5284163E+01    -0.1542985E+02
   0.000     0.5301410E+01    -0.1545995E+02
   0.000     0.5318657E+01    -0.1549030E+02
   0.000     0.5335904E+01    -0.1552125E+02
   0.000     0.5353151E+01    -0.1555255E+02
   0.000     0.5370398E+01    -0.1558427E+02
   0.000     0.5387645E+01    -0.1561642E+02
   0.000     0.5404892E+01    -0.1564906E+02
   0.000     0.5422139E+01    -0.1568237E+02
   0.000     0.5439386E+01    -0.1571591E+02
   0.000     0.5456633E+01    -0.1575021E+02
   0.000     0.5473880E+01    -0.1578503E+02
   0.000     0.5491127E+01    -0.1582030E+02
   0.000     0.5508374E+01    -0.1585610E+02
   0.000     0.5525621E+01    -0.1589263E+02
   0.000     0.5542868E+01    -0.1592989E+02
   0.000     0.5560115E+01    -0.1596780E+02
   0.000     0.5577362E+01    -0.1600645E+02
   0.000     0.5594608E+01    -0.1604581E+02
   0.000     0.5611855E+01    -0.1608590E+02
   0.000     0.5629102E+01    -0.1612682E+02
   0.000     0.5646349E+01    -0.1616866E+02
   0.000     0.5663596E+01    -0.1621139E+02
   0.000     0.5680843E+01    -0.1625487E+02
   0.000     0.5698090E+01    -0.1629912E+02
   0.000     0.5715337E+01    -0.1634421E+02
   0.000     0.5732584E+01    -0.1639015E+02
   0.000     0.5749831E+01    -0.1643756E+02
   0.000     0.5767078E+01    -0.1648613E+02
   0.000     0.5784325E+01    -0.1653556E+02
   0.000     0.5801572E+01    -0.1658615E+02
   0.000     0.5818819E+01    -0.1663840E+02
   0.000     0.5836066E+01    -0.1669118E+02
   0.000     0.5853313E+01    -0.1674567E+02
   0.000     0.5870560E+01    -0.1680089E+02
   0.000     0.5887807E+01    -0.1685752E+02
   0.000     0.5905054E+01    -0.1691576E+02
   0.000     0.5922301E+01    -0.1697508E+02
